Gardey,47.63589900,6.83448500
Gare,47.63384100,6.85394300
Gare Petit-Croix,47.61071300,6.99520400
Gare TGV,47.58471000,6.89621200
Gendarmerie,47.73831400,6.82999900
Giromagny,47.74165900,6.82730500
Goscinny,47.66766100,6.84681000
Goutte des Canals,47.76703800,6.87070600
Goutte Haine,47.59013500,6.99750000
Goutte Oineux,47.69970000,6.81106000
Gouttes,47.71965000,6.87953100
Grand'Combe,47.64375600,6.83411200
Grande Rue,47.52735200,6.99910900
Grandes Planches,47.66934400,6.81626800
Grands Champs,47.61035500,7.00143400
Grelat,47.50606900,6.99666400
Grillons,47.71219500,6.83601500
Grosmagny,47.72139000,6.88240200
Grosne,47.57517600,6.99895100
Grottes,47.61490500,6.85954600
Guidon,47.63673400,6.84083000
Géhant,47.55603700,6.85248600
Haguenau,47.66098600,6.93199400
Halte Fluviale,47.60165500,7.00178300
Hatry,47.63760600,6.85015000
Haut des Prés,47.65102700,6.82384100
Haute Miotte,47.64520900,6.86652000
Hauts de Belfort,47.64348900,6.88604400
Helvétie,47.50847200,6.80622900
Henri Dorey,47.61378400,6.99854600
Hôpital Nfc,47.57629500,6.87223200
IUT,47.64498500,6.84043300
Jacquot,47.61815600,6.86561300
James Long,47.64290700,6.85367500
Jaminet,47.71357400,7.01259500
Japy,47.48503900,6.91954900
Jean Jaurès,47.64427100,6.85613800
Jeantet,47.71490700,7.02091000
Joncherey,47.52570700,7.00121600
Julg,47.49281500,6.92038600
Jura,47.55899400,7.08293900
Kléber,47.55423400,6.84297100
L'Allan,47.53190000,6.92043500
La Belle,47.62119000,6.83128700
La Brosse,47.70475100,6.81482400
La Chaussée,47.65925900,6.91299400
La Creuse,47.70316200,6.96068300
La Dame,47.62398900,6.82850100
La Douce,47.62758600,6.83587100
La Feschotte,47.51960900,6.91456700
La Forge,47.54544800,6.91713200
La Forêt,47.65111900,6.78878900
La Lot,47.65944900,6.90738900
La Louvière,47.47323900,6.96686600
La Noue,47.70071100,7.01504500
La Planche le Prêtre,47.75559200,6.85217800
La Poste,47.63390600,6.82404800
La Praie,47.59326100,6.90957100
La Truche,47.52417000,6.91709700
Lachapelle-Sous-Chaux,47.70550300,6.82221400
Lachapelle-Sous-Rougemont,47.71054900,7.01289900
Lacollonge,47.66295500,6.96059800
Lagrange,47.68101400,6.97782000
Lallemand,47.68373100,6.81409800
Larivière,47.67279700,6.99810000
Laurencie,47.63889300,6.87449300
Laurent Thierry,47.64683800,6.83479700
Lavoir,47.59455000,6.90142100
Le Bannet,47.47031400,6.92066500
Le Nôtre,47.63104900,6.84783800
Le Rhôme,47.70363400,6.81962400
Lebetain,47.48695300,6.97715600
Leclerc,47.54811400,6.94198600
Lepuix,47.75859400,6.81929000
Lepuix Neuf,47.53844400,7.10090200
Les Boulets,47.70044000,6.80375800
Les Epreys,47.72773800,6.84319100
Les Errues,47.68675900,6.95254300
Les Etangs,47.68224300,6.83982200
Les Forges,47.64937900,6.86268200
Les Malpateys,47.70175100,6.80705900
Les Perches,47.63026200,6.86530100
Les Rochers,47.50160800,6.91468800
Leval,47.72869100,6.98248900
Liberté Follereau,47.63658600,6.84512400
Liberté Madrid,47.63606100,6.84556700
Lino Ventura,47.57194700,6.99975600
Longerois,47.60707900,6.91310000
Lot de la Baie,47.56339700,6.91320600
Lotissement Autoroutier,47.64725500,6.90997600
Lotissement Pegoud,47.61354200,6.98071800
Lotissement Viot,47.66421100,7.00179600
Louis Thomas,47.56601500,6.91228800
Lycée Follereau,47.63733300,6.84603300
Lycée Quelet,47.67788300,6.84069600
Lys,47.64545600,6.92711900
Madagascar,47.65231300,6.84509200
Madeleine,47.67915400,6.96307200
Magny,47.53983800,6.96561700
Maison Forestière,47.75760600,6.85579000
Malsaucy,47.68100600,6.80546100
Marcel Braun,47.61955000,6.84236100
Marchegay,47.66133200,6.85361700
Marché Vosges,47.65217200,6.85053700
Marseille,47.64699400,6.86233800
Martinet,47.65947300,6.85873600
Mendès France,47.63873300,6.87872200
Menoncourt,47.67002400,6.94540100
Menuiserie,47.74866000,6.84207000
Mermoz,47.68297100,6.85529200
Mieg,47.64195700,6.84632900
Migeon,47.53853200,6.97169900
Mines,47.75319000,6.81893400
Miotte,47.64132800,6.86622600
Molière,47.62860300,6.85138400
Mont Coron,47.73236500,6.78227500
Mont Jean,47.76370800,6.82245800
Montbouton,47.47320700,6.91830600
Montreux-Château,47.60625900,7.00440900
Morvillars,47.54687900,6.93378000
Morvillars Gare,47.54928800,6.93550200
Moulin,47.66482800,6.88191800
Moval,47.58689100,6.88166000
Mozart,47.62543000,6.84321100
Mulhouse,47.64410500,6.85057700
Multiplexe,47.62882000,6.86113100
Musée Agricole,47.59666400,6.84922400
Musée de l'Artisanat,47.57685500,6.97208500
Méchelle,47.65872500,6.83683000
Médiathèque,47.50578900,7.00139400
Mésange,47.49221000,6.91715900
Méziré,47.53678600,6.92271400
Nallet,47.67149500,6.84297400
Nayatte,47.66778600,6.89288600
Normandie,47.51193900,7.00517900
Novillard,47.60617500,6.97142000
Noye,47.69889900,6.93843400
Oeufs Frais,47.58893300,6.85929500
Orchidées,47.60428300,6.87435500
Paix,47.50697200,6.99064300
Paon Bleu,47.67611400,6.99786000
Paquis,47.66426900,6.84710700
Parant,47.63586200,6.86931600
Parmentier,47.65317900,6.85248200
Paslattes,47.51962800,7.04049800
